ID,Area,Phase,BurialJarPots,InjuredIndividuals,PopulationPressure,AreaArcGIS,AreaR,LifeSpan
1,FukuokaPlain,KIIa,54,0,0.216,100.062,96.12778,25
2,FukuokaPlain,KIIb,284,1,1.135,100.062,96.12778,25
3,FukuokaPlain,KIIc,220,0,0.22,100.062,96.12778,100
4,FukuokaPlain,KIIIa,416,0,0.594,100.062,96.12778,70
5,FukuokaPlain,KIIIb,484,1,0.605,100.062,96.12778,80
6,FukuokaPlain,KIIIc,95,0,0.119,100.062,96.12778,80
7,MikuniHill,KIIa,465,1,2.355,78.965,79.21889,25
8,MikuniHill,KIIb,611,4,3.095,78.965,79.21889,25
9,MikuniHill,KIIc,1003,9,1.27,78.965,79.21889,100
10,MikuniHill,KIIIa,1001,15,1.811,78.965,79.21889,70
11,MikuniHill,KIIIb,559,7,0.885,78.965,79.21889,80
12,MikuniHill,KIIIc,543,2,0.86,78.965,79.21889,80
13,ItoshimaPlain,KIIa,81,0,0.386,83.886,81.8941,25
14,ItoshimaPlain,KIIb,49,0,0.234,83.886,81.8941,25
15,ItoshimaPlain,KIIc,40,0,0.048,83.886,81.8941,100
16,ItoshimaPlain,KIIIa,64,0,0.109,83.886,81.8941,70
17,ItoshimaPlain,KIIIb,53,0,0.079,83.886,81.8941,80
18,ItoshimaPlain,KIIIc,17,0,0.025,83.886,81.8941,80
19,SawaraPlain,KIIa,38,0,0.262,58.064,58.17505,25
20,SawaraPlain,KIIb,122,0,0.84,58.064,58.17505,25
21,SawaraPlain,KIIc,122,0,0.21,58.064,58.17505,100
22,SawaraPlain,KIIIa,298,1,0.733,58.064,58.17505,70
23,SawaraPlain,KIIIb,187,0,0.403,58.064,58.17505,80
24,SawaraPlain,KIIIc,138,1,0.297,58.064,58.17505,80
25,WestTukushiPlain,KIIa,191,0,0.809,94.439,95.07061,25
26,WestTukushiPlain,KIIb,76,1,0.322,94.439,95.07061,25
27,WestTukushiPlain,KIIc,27,0,0.029,94.439,95.07061,100
28,WestTukushiPlain,KIIIa,24,0,0.036,94.439,95.07061,70
29,WestTukushiPlain,KIIIb,116,0,0.154,94.439,95.07061,80
30,WestTukushiPlain,KIIIc,43,0,0.057,94.439,95.07061,80
31,CentralTsukushiPlain,KIIa,312,0,1.238,100.842,99.18197,25
32,CentralTsukushiPlain,KIIb,494,0,1.96,100.842,99.18197,25
33,CentralTsukushiPlain,KIIc,808,0,0.801,100.842,99.18197,100
34,CentralTsukushiPlain,KIIIa,1011,4,1.432,100.842,99.18197,70
35,CentralTsukushiPlain,KIIIb,230,0,0.285,100.842,99.18197,80
36,CentralTsukushiPlain,KIIIc,110,0,0.136,100.842,99.18197,80
